Country,ISO3,CPI score 2019,Rank,standard error ,Number of sources,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Uganda,UGA,28,137,2.04,9,29.00,,33,37,,22,,,24,31,27,29,17
Angola,AGO,26,146,1.82,7,,,29,20,,22,,,29,32,,20,27
Bangladesh,BGD,26,146,2.62,8,,,25,20,,22,,,41,17,27,31,27
Guatemala,GTM,26,146,2.23,7,,,25,20,,22,,,32,18,,32,30
Honduras,HND,26,146,3.25,7,,,21,20,,22,,,41,19,35,,24
Iran,IRN,26,146,3.63,7,,,13,20,,35,,,24,23,,28,42
Mozambique,MOZ,26,146,2.98,9,11.00,,25,20,,35,,,32,39,27,16,27
Nigeria,NGA,26,146,1.87,8,,,33,20,,22,,,24,24,35,24,26
Cameroon,CMR,25,153,2.42,9,34.00,,29,20,,35,,,24,12,27,26,20
Central African Republic,CAF,25,153,1.43,5,24.00,,29,,,22,,,,21,27,,
Comoros,COM,25,153,8.90,4,4.00,,,,,47,,,,21,27,,
Tajikistan,TJK,25,153,6.66,6,,,17,,21,22,,,,13,18,57,
Uzbekistan,UZB,25,153,2.01,7,,,29,20,21,22,,,,22,27,,35
Madagascar,MDG,24,158,2.48,8,19.00,,33,,,35,,,24,21,27,17,16
Zimbabwe,ZWE,24,158,2.31,9,16.00,,21,37,,22,,,15,22,27,31,24
Eritrea,ERI,23,160,6.66,5,4.00,,13,,,35,,,,39,27,,
Nicaragua,NIC,22,161,1.16,7,,,21,20,,22,,,24,17,27,,24
Cambodia,KHM,20,162,3.41,8,,,13,20,,22,,34,,14,10,35,14
Chad,TCD,20,162,2.45,6,24.00,,21,,,22,,,,9,27,19,
Iraq,IRQ,20,162,2.98,5,,,29,20,,10,,,19,22,,,
Burundi,BDI,19,165,4.89,6,14.00,,17,,,22,,,,11,10,42,
Congo,COG,19,165,1.03,6,,,21,20,,22,,,15,20,18,,
Turkmenistan,TKM,19,165,1.42,5,,,17,20,21,22,,,,15,,,
Democratic Republic of the Congo,COD,18,168,1.43,9,24.00,,21,20,,22,,,15,10,18,16,16
Guinea Bissau,GNB,18,168,2.91,6,11.00,,29,,,22,,,19,15,10,,
Haiti,HTI,18,168,3.23,6,,,17,,,22,,,24,13,27,5,
Libya,LBY,18,168,2.24,5,,,21,20,,10,,,15,22,,,
"Korea, North",PRK,17,172,3.16,4,,,17,,,10,,,15,25,,,
Afghanistan,AFG,16,173,2.55,5,,,25,,,10,,,,13,18,,14
Equatorial Guinea,GNQ,16,173,3.00,4,,,9,20,,22,,,,15,,,
Sudan,SDN,16,173,2.74,7,14.00,,13,20,,22,,,6,27,10,,
Venezuela,VEN,16,173,2.05,8,,,9,20,,10,23,,15,25,,16,13
Yemen,YEM,15,177,1.89,7,,,13,20,,10,,,15,13,10,23,
Syria,SYR,13,178,1.92,5,,,9,20,,10,,,15,13,,,
South Sudan,SSD,12,179,1.26,5,11.00,,17,,,10,,,,13,10,,
Somalia,SOM,9,180,1.74,5,4.00,,9,,,10,,,6,14,,,
